eps,x_min,iterations,calls
0.1,-1.4532424291177852,7,14
0.01,-1.4470108728636273,10,20
0.001,-1.4472975886303976,13,26
0.0001,-1.4473031003464132,17,34
1e-05,-1.4473110475966262,20,40
1e-06,-1.447314763459925,23,46
1e-07,-1.4473046051318086,27,54
1e-08,-1.4472925072158873,30,60
