eps,x_min,iterations,calls
0.1,1.127845303724785,7,14
0.01,1.152386187890734,10,20
0.001,1.1548126999144017,13,26
0.0001,1.1545369390597386,17,34
1e-05,1.1545193418561246,20,40
1e-06,1.1545206688325438,23,46
1e-07,1.1545431808461135,27,54
1e-08,1.1545711172649797,30,60
