eps,x_min,iterations,calls
0.1,-0.000286668963386031,7,10
0.01,0.00028454116121100724,9,12
0.001,-1.0586590389674577e-06,10,13
0.0001,3.622204039509352e-09,13,16
1e-05,3.622204039509352e-09,13,16
1e-06,-3.6204357116971505e-09,15,18
1e-07,-3.6204357116971505e-09,15,18
1e-08,8.79848103929212e-13,16,19
