eps,x_min,iterations,calls
0.1,-0.003472188733070279,9,11
0.01,-0.0018863252448234691,14,16
0.001,-6.908739184495715e-05,19,21
0.0001,-1.4467313517466758e-05,24,26
1e-05,-1.5732620958149627e-06,28,30
1e-06,3.3488828869751537e-08,33,35
1e-07,1.8193372683456488e-08,38,40
1e-08,6.66339513315194e-10,43,45
