eps,x_min,iterations,calls
0.1,-0.0730337078651687,9,11
0.01,-0.003546099290780244,14,16
0.001,-0.0005938242280285905,19,21
0.0001,-1.9993335554623445e-05,23,25
1e-05,6.610259121958341e-06,28,30
1e-06,7.044188192516534e-07,33,35
1e-07,3.4201679741566835e-08,38,40
1e-08,-6.4156600276282065e-09,42,44
