eps,x_min,iterations,calls
0.1,1.1443227713239403,9,12
0.01,1.158250057964759,12,15
0.001,1.1542490118808262,15,18
0.0001,1.154515059487574,15,18
1e-05,1.1545266046481688,15,18
1e-06,1.1545215873068169,16,19
1e-07,1.154521031745869,17,20
1e-08,1.154521031745869,17,20
