eps,x_min,iterations,calls
0.1,1.185393258426966,9,11
0.01,1.159574468085106,14,16
0.001,1.1549881235154396,19,21
0.0001,1.1545951349550154,23,25
1e-05,1.1545220181722031,28,30
1e-06,1.1545214747495658,33,35
1e-07,1.154520966142731,38,40
1e-08,1.15452103802078,42,44
