eps,x_min,iterations,calls
0.1,-0.3014794962639852,9,11
0.01,-0.2896297086737346,14,16
0.001,-0.2906982033541907,19,21
0.0001,-0.29082033756226733,24,26
1e-05,-0.29083931935897067,28,30
1e-06,-0.2908391497297623,33,35
1e-07,-0.2908392946104028,38,40
1e-08,-0.2908393148958168,43,45
