eps,x_min,iterations,calls
0.1,-0.2303370786516855,9,11
0.01,-0.28723404255319157,14,16
0.001,-0.2902886899323954,19,21
0.0001,-0.2907497500833054,23,25
1e-05,-0.29083277246286254,28,30
1e-06,-0.2908393041859275,33,35
1e-07,-0.2908392852806574,38,40
1e-08,-0.2908393093816811,42,44
