eps,x_min,iterations,calls
0.1,0.012755768024785022,7,14
0.01,0.0012176024541176642,10,20
0.001,0.00011025946059853393,13,26
0.0001,-1.7199484433585422e-05,17,34
1e-05,-2.5773994971805725e-06,20,40
1e-06,-3.650154304759009e-07,23,46
1e-07,-2.3835354505936417e-08,27,54
1e-08,3.1112696240738994e-09,30,60
