eps,x_min,iterations,calls
0.1,0.9148549593262113,9,12
0.01,0.8735738402310712,12,15
0.001,0.8714785454271912,13,16
0.0001,0.87131450898251,13,16
1e-05,0.8712808127447602,15,18
1e-06,0.8712808127447602,15,18
1e-07,0.8712810800396983,16,19
1e-08,0.8712810800396983,16,19
